source	time	reason
i0323A	2014-07-23	15 unmatched
i0125A	2013-10-07	30 unmatched
i0291A	2014-07-08	522 unmatched
i0032A	2013-05-31	48 unmatched
i0056A	2013-08-09	12 unmatched
i0109A	2013-09-23	9 unmatched
i0206A	2014-03-19	1 unmatched
i0144A	2014-01-14	1 unmatched
i0142A_1	2013-12-12	13 unmatched
i0089A	2013-09-03	1 unmatched
i0037A	2013-07-03	35 unmatched
i0295A	2014-06-19	2 unmatched
i0285A	2014-07-18	3 unmatched
i0131A	2013-10-21	11 unmatched
i0091A	2013-09-12	1 unmatched
i0322A_1	2014-07-28	10 unmatched
i0262A	2014-06-17	6774 unmatched
i0002A	2013-05-01	19 unmatched
i0320A	2014-07-21	126 unmatched
i0075A	2013-08-26	1 unmatched
i0174A	2014-02-12	679 unmatched
i0106A	2013-09-27	36 unmatched
i0308A	2014-07-09	2 unmatched
i0212A	2014-03-26	2 unmatched
i0080A	2014-01-22	1 unmatched
i0016B	2013-06-12	30 unmatched
i0242A	2014-05-05	3 unmatched
i0124A	2013-10-01	5947 unmatched
i0005A	2013-05-01	26 unmatched
i0055A	2013-09-05	41 unmatched
i0282A	2014-07-01	3 unmatched
i0270A	2014-06-12	6 unmatched
i0303A	2014-07-07	2 unmatched
i0249A	2014-05-22	1 unmatched
i0095A	2013-09-17	4860 unmatched
i0021A	2013-06-14	1 unmatched
i0147A	2014-02-11	1 unmatched
i0001A	2013-05-15	2 unmatched
i0197A	2014-02-24	360 unmatched
i0059A_1	2013-12-10	20 unmatched
i0193A	2014-03-04	1 unmatched
